Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Сила і Честь,211,1400,2019-07-03,30,"ОКІА ""Новини Полтавщини""","м. Полтава, пл. Соборності, буд. 45, кв. 517",24830216,"+;1400;інші витрати на передвиборну агітацію (оплата за проведення прес-конференції), з-но рах. від 02.07.2019 №61, без ПДВ.",860,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Сила і Честь,211,1361,2019-07-03,24,Єфремов Олександр Сергійович,"м. Київ, вул. Тургенєвська, буд. 38, оф. 406/2",,"+;1361;Послуги електричного зв'язку (сплата за послуги ВАТС згідно рах. №2903-6 від 01.07.2019, та договору від 22.04.2019, в т.ч. ПДВ-1142,67грн.","1142,67",ФОП,"послуги електричного зв’язку (телефонного, телеграфного, фототелеграфного, факсимільного, документального зв’язку, мереж та каналів передавання даних тощо)"
Сила і Честь,211,1400,2019-07-03,26,Цирульник Тетяна Григорівна,"м. Полтава, пров. Капельгородського, буд. 7 кв. 3",,"+;1400;інші витрати на передвиборну агітацію (розміщення статті на сайті), зг-но рах. від 02.07.2019 №Ц-00000057, без ПДВ.",1300,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Сила і Честь,211,1400,2019-07-03,27,Бульбаха Вікторія Анатоліївна,"Полтавська обл., Новосанжарський р-н, смт Нові Санжари, вул. Нова, буд. 63",,"+;1400;інші витрати на передвиборну агітацію (розміщення матеріалів на сайті інтернет-видання ""Полтавщина""), з-но рах. від 02.07.2019 №205, без ПДВ.",1500,ФОП,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Сила і Честь,211,1211,2019-07-03,34,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 26",25195855,"+;1211;оплата ефірного часу на телебаченні, з-но рах. від 01.07.2019 №168-1, в т.ч. ПДВ-312,30 грн.","1873,8",юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-03,29,"ПП ""ТРО ""Тернопіль-медіа""","м. Тернопіль, вул. Олени Кульчицької, буд. 2А",41302104,"+;1211; оплата ефірного часу на телебаченні, з-но рах. від 28.06.2019 №СФ-0000081, без ПДВ.",1998,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1361,2019-07-03,23,"ТОВ ""Інтернаціональні телекомунікації""","м. Одеса, вул. Мала Арнаутська, буд. 66",30109015,"+;1361;Послуги електричного зв'язку, згідно рах. №4700490/87400630 від 02.07.2019, в т.ч. ПДВ-500,00грн",3000,юридична особа,"послуги електричного зв’язку (телефонного, телеграфного, фототелеграфного, факсимільного, документального зв’язку, мереж та каналів передавання даних тощо)"
Сила і Честь,211,1212,2019-07-03,28,"ПП ""ТРК ""Смайл""","м. Тернопіль, вул. Руська, буд. 44",34473456,"+;1212;оплата ефірного часу на радіо, з-но рах. від 27.06.2019 №63, без ПДВ.",5500,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-03,25,"ТОВ ""Студія ""Місто""","м. Полтава, просп. Першотравневий, буд. 19",31495587,"+;1211;оплата ефірного часу на телебаченні, з-но рах. від 02.07.2019 №СФ-0000326, в т.ч.ПДВ-2000,00 грн",12000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-03,33,"Дочірнє підприємство ""Телерадіокомпанія ""Стерх""","м. Дніпро, вул. Писаржевського, буд. 1А",24434223,"+;1211;оплата ефірного часу на телебаченні, з-но рах. від 02.07.2019 №СФ-07/07, в т.ч. ПДВ-2100,00 грн.",12600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1120,2019-07-03,31,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 26",25195855,"+;1120;виготовлення відеозаписів, з-но рах. від 01.07.2019 №169-1, в т.ч. ПДВ-2187,70 грн.","13126,2",юридична особа,виготовлення відеозаписів
Сила і Честь,211,1110,2019-07-03,32,"ТОВ ""Мега-поліграф""","м. Київ, вул. Марка Вовчка, буд. 12/14",32114278,"+;1110;виготовлення друк. матеріалів передвиборної агітації (бюлетеня), з-но рах. від 01.07.2019 №2361, в т.ч. ПДВ-25500,00 грн.",153000,юридична особа,"виготовлення друкованих матеріалів (виборчих листівок, плакатів та інших агітаційних матеріалів чи видань)"
Сила і Честь,211,1400,2019-07-04,43,"ТОВ ""Місто""","м. Вінниця, вул. Ширшова, буд. 3А",32833106,"+;1400;Інші витрати на передвиборну агітацію (інформаційні послуги,розміщення новин на сайті), згідно рах. №СФ-0000065 від 02.07.2019, в т.ч. ПДВ - 366,67грн.",2200,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Сила і Честь,211,1211,2019-07-04,35,"КП Київської міської ради ""Телекомпанія ""Київ""","м. Київ, вул. Хрещатик, буд. 26",25195855,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №170-1 від 01.07.2019, в т.ч. ПДВ-3643,50грн.",21861,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,37,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1211;Оплата ефірного часу на телебаченні згідно дог. №99-32/3 від 01.07.2019, в т.ч ПДВ-16497,40грн.","98984,4",юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,39,"ТОВ ""Інтер реклама центр""","м. Київ, вул. Воровського, буд. 22А",30524103,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №127 від 03.07.2019, в т.ч. ПДВ- 157080,00грн.",942480,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,36,"ТОВ ""Телеканал ""Прямий""","м. Київ, вул. Мечнікова, буд. 2А",04948693,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №408 від 02.07.2019, в т.ч. ПДВ-210000,00грн.",1260000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,42,"ТОВ ""Телеканал ""СТБ""","м. Київ, вул. Івана Шевцова, буд. 1",20044726,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №431 від 02.07.2019, в т.ч.ПДВ-212676,00грн.",1276056,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,41,"ТОВ ""Міжнародна комерційна телерадіокомпанія"" (ICTV)","м. Київ, вул. Паньківська, буд. 11",14323764,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №221 від 03.07.2019, в т.ч ПДВ-223644,00грн.",1341864,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,40,"ТОВ ""Телерадіокомпанія ""Студія 1+1""","м. Київ, вул. Кирилівська, буд. 23",23729809,"+;1211;Оплата ефірного часу на телебаченні згідно рах. №572 від 01.07.2019, в т.ч. ПДВ-267975,00грн.",1607850,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-04,38,"ТОВ ""Телерадіокомпанія ""Україна""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",05744121,"+;1211;Оплата ефірного часу на телебаченні згідно угоди №ТРК-085414/2019 від 02.07.2019, в т.ч. ПДВ-359004,00грн.",2154024,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,76,"ТОВ ""Телерадіокомпанія ""Сіверські підприємства""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",14255181,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, без ПДВ.",525,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,80,"ТОВ ""Топ-радіо""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",21117217,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, в т.ч. ПДВ-87,50 грн.",525,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,81,"ПП ""ТРК ""Черкаський центр міжнародних звʼязків""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",14209034,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, без ПДВ.",525,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,82,"ТОВ ""ТРК ""Радіо хвиля""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24996257,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, без ПДВ.",525,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,56,"ПП ""Вісма-радіо-ТБ""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",24388823,"+;1212;оплата ефірного часу на радіо, зг-но рах. №ВС29 від 01.07.2019, в т.ч. ПДВ-88,56 грн.","531,36",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,71,"ТОВ ""Телерадіокомпанія ""Радіо великих доріг""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",32355150,"+;1212;оплата ефірного часу на радіо, зг-но рах. №РВ38 від 01.07.2019, без ПДВ.","604,8",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,74,"ТОВ ""ТРК ""Белком""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",32276619,"+;1212;оплата ефірного часу на радіо, зг-но рах. №БЛ36 від 01.07.2019, в т.ч. ПДВ-120,96 грн.","725,76",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,73,"ТОВ ""Контакт-інформ""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",36045376,"+;1212;оплата ефірного часу на радіо, зг-но рах. №КІ30 від 01.07.2019, в т.ч. ПДВ-174,96 грн.","1049,76",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,62,"ТОВ ""Телерадіокомпанія ""Новий день""","м. Кропивницький, вул. Вʼячеслава Чорновола, буд. 36Б",37298045,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000045 від 01.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,65,"ПП ""Радіокомпанія ""Черкаси-вибір""","м. Черкаси, бульв. Тараса Шевченка, буд. 195/1",30147008,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-ВР00006 від 01.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,67,"ДП ""Телерадіокомпанія ""Регіон плюс""","м. Краматорськ, вул. Леніна, буд. 58",24811482,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000030 від 02.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,68,"ТОВ ""Бойчук-студія""","м. Івано-Франківськ, вул. Галицька, буд. 67, оф. 503",22188659,"+;1212;оплата ефірного часу на радіо, зг-но рах. №50 від 02.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,70,"ТОВ ""Телерадіокомпанія ""Імідж ТВ""","Миколаївська обл., м. Вознесенськ, вул. Тимірязєва, буд. 175",20907141,"+;1212;оплата ефірного часу на радіо, зг-но рах. №64 від 01.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,79,"ТОВ ""Євромюзік""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",37027503,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, без ПДВ.",1050,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,45,"ТОВ ""Телерадіокомпанія ""Музично-інформаційне радіо""","м. Миколаїв, вул. Інженерна, буд. 18/1",33969097,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000094 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,47,"ТОВ ""ТРК ""Медіа ФМ""","м. Дніпро, вул. Робоча, буд. 23В",33116009,"+;1212;оплата ефірного часу на радіо, зг-но рах. №01-07-19/001 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,50,"ТОВ ""Телерадіокомпанія ""Ваше радіо""","м. Херсон, парк Ленінського Комсомолу, кафе ""Молодіжне""",24960420,"+;1212;оплата ефірного часу на радіо, зг-но рах. №80 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,59,"ТОВ ""ТРК ""Унісон плюс""","м. Чернігів, просп. Перемоги, буд. 114",32016577,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000031 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,60,"ТОВ ""Телерадіокомпанія ""Нова хвиля""","м. Одеса, вул. Середньофонтанська, буд. 19А, оф. 320",35358531,"+;1212;оплата ефірного часу на радіо, зг-но рах. №33 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,61,"ТОВ ""Телерадіокомпанія ""Пілот""","м. Вінниця, вул. Хмельницьке шосе, буд. 2, оф. 717",24897584,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000037 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,63,"ТОВ ""Радіо ""Тон""","м. Тернопіль, вул. Камінна, буд. 5, прим. 13",21155577,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-00000364 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,66,"ПП ""ТРК ""Місто ФМ""","м. Запоріжжя, просп. Соборний, буд. 167, оф. 1",34563984,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000033 від 01.07.2019, в т.ч. ПДВ-210,00 грн.",1260,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,77,"ТОВ ""Телерадіокомпанія ""Контакт""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24512176,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, в т.ч. ПДВ-315,00 грн.",1575,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,148,"КП ""Муніципальна телевізійна мережа""","м. Запоріжжя, вул. Приходська, буд. 60",24905384,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000111 від 01.07.2019, в т.ч. ПДВ-333,33 грн.",2000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,53,"ПП ""ТРО ""Софія""","м. Херсон, вул. 49-ї гвардійської дивізії, буд. 16/1",32479351,"+;1212;оплата ефірного часу на радіо, зг-но рах. №86 від 01.07.2019, в т.ч. ПДВ-393,12 грн.","2358,72",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,64,"ТОВ ""Радіо FM""","м. Київ, вул. Вікентія Хвойки, буд. 15/15",23980419,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000025 від 01.07.2019, в т.ч. ПДВ-420,00 грн.",2520,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,54,"ПП ""ТРК ""Подільські комунікації""","м. Ладижин, вул. Процишина, буд. 45, кв. 91",34261211,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000030 від 01.07.2019, без ПДВ.",3240,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,55,"ТОВ ""РК ""Армянське радіо-Україна""","м. Київ, вул. Михайла Грушевського, буд. 28/2, прим. 43",31513637,"+;1212;оплата ефірного часу на радіо, зг-но рах. №26 від 27.06.2019, в т.ч. ПДВ-606,96 грн.","3641,76",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,75,"ПрАТ ""Телерадіокомпанія ""Люкс""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",36885235,"+;1212;оплата ефірного часу на радіо, зг-но рах. №ДП30 від 01.07.2019, в т.ч. ПДВ-606,96 грн.","3641,76",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,49,"ТОВ ""Телерадіокомпанія ""Класик радіо""","м. Київ, вул. Павлівська, буд. 29, кімн. 33",35946731,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000042 від 01.07.2019, в т.ч. ПДВ-630,00 грн.",3780,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1400,2019-07-05,84,"ТОВ ""Видавничий дім ""Високий замок""","м. Львів, вул. Героїв УПА, буд. 65",13807781,"+;1400;Інші витрати на передвиборну агітацію (інформаційні послуги на сайті), згідно рах. № ВЗ-0000659 від 02.07.2019, в т.ч. ПДВ-630,00грн.",3780,юридична особа,"Інші витрати на передвиборну агітацію (розповсюдження виборчих листівок, плакатів та інших друкованих агітаційних матеріалів чи друкованих видань; проведення мітингів, походів, демонстрацій, пікетів, концертів, вистав, спортивних змагань, демонстрації фільмів та телепередач чи інших публічних заходів за підтримки політичної партії – суб’єкта виборчого процесу чи кандидата на пост Президента України тощо)"
Сила і Честь,211,1212,2019-07-05,46,"ДП ""Телерадіокомпанія ""Класик""","м. Запоріжжя, вул. Олександра Матросова, буд. 8А, оф. 104",36065717,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-34 від 27.06.2019, без ПДВ.","3784,32",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1212,2019-07-05,78,"ТОВ ""ТРК ""Шансон""","м. Київ, бульв. Тараса Шевченка, буд. 54/1",24085596,"+;1212;оплата ефірного часу на радіо, зг-но рах. №2/9 від 02.07.2019, в т.ч. ПДВ-700,00 грн.",4200,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,102,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №НТК000000021 від 03.07.2019, в т.ч. ПДВ-707,20 грн.","4246,2",юридична особа,оплата ефірного часу на телебаченні
